Table: Table_1

Mesa Número ,1323 ,,
Departamento ,OT ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticas) ,,183 ,,
Votos Nulos ,,019 ,,
Votos en Blanco ,,001 ,,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,,203 ,,
Votos Inválidos ,,197 ,,
Total Votos (Es la suma de los votos vólidomente emitidos y votos inválidos) ,,400 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos Válidos ,
23 ,TODOS (TODOS) ,009 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,024 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,040 ,
30 ,PARTIDO REPUBLICANO (PR) ,,
31 ,CAMBIO (CAMBIO) ,001 ,
32 ,PARTIDO AZUL (AZUL) ,00 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,001 ,
18 ,VICTORIA (VICTORIA) ,003 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,003 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,000 ,
26 ,BIENESTAR NACIONAL {BIEN) ,,
37 ,UNION REPUBLICANA (UR) ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,002 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,000 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,001 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,000 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,004 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,034 ,
12 ,MI FAMILIA (MI FAMILIA) ,00 ,
33 ,CABAL (CABAL) ,00 1 ,
17 ,VISION CON VALORES (VIVA) ,002 ,
22 ,PODEMOS (PODEMOS) ,008 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,000 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,46 ,





