Table: Table_1

Mesa Número ,1453 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,O 1 ,0 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 1 ,8 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,C 1 4 ,0 ,
30 ,PARTIDO REPUBLICANO (PR) ,C ,,
31 ,CAMBIO (CAMBIO) ,,7 ,
32 ,PARTIDO AZUL (AZUL) ,, ,1 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,2 ,
18 ,VICTORIA (VICTORIA) ,,6 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,
26 ,BIENESTAR NACIONAL (BIEN) ,0 0 ,1 ,
37 ,UNION REPUBLICANA (JR) ,C C ,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,3 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,2 ,6 ,
12 ,Mi FAMILIA (MI FAMILIA) ,00 ,3 ,
33 ,CABAL (CABAL) ,(I O ,2 ,
17 ,VISION CON VALORES {VIVA) ,C ,2 ,
22 ,PODEMOS (PODEMOS) ,011 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,C02 ,,
20 ,COMPROMISO, RENOVACION y ORDEN (CREO) ,058 ,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones políticas) ,,202 ,,
Votos Nulos ,0 ,,8 ,
Votos en Blanco ,,00 ,1 ,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanca) ,,221 ,,
Votos Inválidos ,,900 ,,
Total Votos (Es lo sumo de los votos vólidamente emitidos y votos invólidos) ,,221 ,,





