Table: Table_1

Mesa Número ,1871 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,006 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,011 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,091 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,
31 ,CAMBIO (CAMBIO) ,,001 ,,
32 ,PARTIDO AZUL (AZUL : ,,005 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,() ,0 ,1 ,
18 ,VICTORIA (VICTORIA) ,,00 ,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,002 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,() ,O ,2 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,,2 ,
37 ,UNION REPUBLICANA (UR) ,,00. ,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,,001 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,J ,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,000 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAL ,,O ,1 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,00 ,9 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,0 ,& ,
12 ,MI FAMILIA (MI FAMILIA) ,U ,I ,1 ,
33 ,CABAL (CABAL) ,,002 ,,
17 ,VISION CON VALORES (VIVA) ,0 ,U ,2 ,
22 ,PODEMOS (PODEMOS) ,0 ,1 ,3 ,
116 ,PARTIDO DE OPORTUNIDADES y DESARROLLO (PODER) ,,000 ,,
20 ,COMPROMISO RENOVACION Y ORDEN (CREO) ,,,$ ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es lo suma de los votos obtenidos por los organizaciones políticas) ,,142 ,,
Votos Nulos ,,i) ,7 ,
Votos en Blanco ,,C ,1 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos vólidos, votos nutos y votos en bianco) ,,T ,,
Votos Inválidos ,,0 ,,
Total Votos (Es la sumo de los votos válidamente emitidos y votos Invólidos) ,,,D ,





