Table: Table_1

Mesa Número ,2009 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,000 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,000 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,00 ,,
30 ,PARTIDO REPUBLICANO (PR) ,00. ,,
31 ,CAMBIO (CAMBIO) ,000 ,,
32 ,PARTIDO AZUL (AZUL ,000 ,,
27 ,MOVIMIENTO PARA IA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,1 ,
18 ,VICTORIA (VICTORIA) ,00 ,1 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,000 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,000 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,000 ,,
37 ,UNION REPUBLICANA (UR) ,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL {PA N) ,000 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,000 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,000 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA! ,000 ,,
13 ,PARTIDO POUTICO NOSOTROS (PPN) ,000 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,00 ,1 ,
12 ,MI FAMILIA (MI FAMILIA) ,00 ,1 ,
33 ,CABAL (CABAL) ,00 ,2 ,
17 ,VISION CON VALORES (VIVA) ,00 ,0 ,
22 ,PODEMOS (PODEMOS) ,00 ,0 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,000 ,,
20 ,COMPROMISO RENOVACION y ORDEN (CREO) ,001 ,,





Table: Table_3

Código Nombre y Siglas ,Votos Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por las organizaciones políticos) ,O 1 4 ,
Votos Nulos ,002 ,
Votos en Blanco ,000 ,
Total Votos Válidamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en bionco) ,01 6 ,
Votos Inválidos ,000 ,
Total Votos (Es la sumo de los votos válidamente emitidos y votos invólidos) ,016 ,





