Table: Table_1

Mesa Número ,9 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre Y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,005 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,\ ,7 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,5 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,001 ,1 ,
31 ,CAMBIO (CAMBIO) ,O ,,6 ,
32 ,PARTIDO AZUL (AZUL) ,,004 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,cor ,,
18 ,VICTORIA (VICTORIA) ,,003 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,004 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,100 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,0 ,,,
37 ,UNION REPUBLICANA (UR) ,,,,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,,001 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,004 ,,
15 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,04 ,,,
12 ,MI FAMILIA (MI FAMILIA) ,,008 ,,
33 ,CABAL (CABAL) ,0 ,0 ,3 ,
17 ,VISION CON VALORES {VIVA) ,C ,,,
22 ,PODEMOS (PODEMOS) ,,008 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,000 ,,
20 ,COMPROMISO. RENOVACION Y ORDEN (CREO) ,,061 ,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones politicas) ,,224 ,,
Votos Nulos ,,017 ,,
Votos en Blanco ,,1 , 000 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nutos y votos en blanco) ,2 ,4 ,A ,
Votos Inválidos ,,000 ,,
Total Votos (ES la suma de los votos válidamente emitidos y votos invólidos) ,24 ,,1 ,





