Table: Table_1

Mesa Número ,1376 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,O ,18 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,O ,38 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,O 5 ,5 ,
30 ,PARTIDO REPUBLICANO (PR) ,000 ,,
31 ,CAMBIO (CAMBIO) ,001 ,,
32 ,PARTIDO AZUL (AZUL) ,003 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,000 ,,
18 ,VICTORIA (VICTORIA) ,007 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,Ua ,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,3 ,
37 ,UNION REPUBLICANA (UR) ,00 ,0 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,00 ,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,000 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION ,000 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,5 ,
88 ,SEMILLA URNG-MAIZ WINAQ SEMILLA URNG-MAIZ WINAQ) ,1 ,2 ,
12 ,MI FAMILIA (Mi FAMILIA) ,,,
33 ,CABAL (CABAL) ,,,
17 ,VISION CON VALORES (VIVA) ,,4 ,
22 ,PODEMOS (PODEMOS) ,01 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,000 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,O 7 ,O ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (ES la sumo de los votos obtenidos por los organizaciones politicos) ,,202 ,,
Votos Nulos ,,01 ,,
Votos en Blanco ,,,5 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos vólidos, votos nulos y votos en blanco) ,,,7 ,
Votos Inválidos ,,153 ,,
Total Votos (ES la suma de los votos válidamente emitidos y votos invólidos) ,,400 ,,





