Table: Table_1

Mesa Número ,1653 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,5 ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,\ ,9 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,60 ,,
30 ,PARTIDO REPUBLICANO (PR) ,0 ,,,
31 ,CAMBIO (CAMBIO) ,5 ,,,
32 ,PARTIDO AZUL (AZUL) ,I ,5 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,I ,,,
18 ,VICTORIA (VICTORIA) ,2 ,,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,2 ,,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,,,
26 ,BIENESTAR NACIONAL (BIEN) ,2 ,,,
37 ,UNION REPUBLICANA (UR) ,0 ,,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,I ,,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,1 ,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,1 ,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,1 ,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,0 ,,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,3 ,6 ,,
12 ,MI FAMILIA (MI FAMILIA) ,,,,
33 ,CABAL (CABAL) ,3 ,,,
17 ,VISION CON VALORES (VIVA) ,2 ,,,
22 ,PODEMOS (PODEMOS) ,i ,2 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,1 ,,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,70 ,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticos) ,,239 ,,
Votos Nulos ,,16 ,,
Votos en Blanco ,2 ,,,
Total Votos Válidamente Emitidos (Es to sumo de for votos válidos, votos nulos y votos en blanco) ,,25 ,7 ,
Votos Inválidos ,,\ ,,
Total Votos (ES la sumo de los votos válidamente emitidos y votos inválidos) ,2 ,6 ,8 ,





