Table: Table_1

Mesa Número ,1634 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,
23 ,TODOS (TODOS) ,01 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,01 7 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,062 ,
30 ,PARTIDO REPUBLICANO (PR) ,001 ,
31 ,CAMBIO (CAMBIO) ,006 ,
32 ,PARTIDO AZUL (AZUL) ,003 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,002 ,
18 ,VICTORIA (VICTORIA) ,008 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,006 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,000 ,
26 ,BIENESTAR NACIONAL (BIEN) ,005 ,
37 ,UNION REPUBLICANA (UR) ,001 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,004 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,000 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,002 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAY ,000 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,005 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,029 ,
12 ,MI FAMILIA (MI FAMILIA) ,002 ,
33 ,CABAL (CABAL) ,005 ,
17 ,VISION CON VALORES (VIVA) ,01. 1 ,
22 ,PODEMOS (PODEMOS) ,011 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER} ,00 2 ,
20 ,COMPROMISO. RENOVACION Y ORDEN (CREO) ,04 1 ,





Table: Table_3

Código Nombre y Siglas ,Votos Válidos ,
Total Votos Válidos (ES la suma de los votos obtenidos por las organizaciones políticas) ,233 ,
Votos Nulos ,XXO ,
Votos en Blanco ,001 ,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,255 284 ,
Votos Inválidos ,000 ,
Total Votos (Es lo suma de los votos válidamente emitidos y votos inválidos) ,254 ,
,,





