Table: Table_1

Mesa Número ,1389 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Validos ,
Total Votos Válidos (Es to sumo de los votos obtenidos por los organizaciones políticas) ,,173 ,,
Votos Nulos ,,013 ,,
Votos en Blanco ,,00 ,1 ,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,,187 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es lo sumo de los votos válidamente emitidos y votos Invólidos) ,,187 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos Válidos ,
23 ,TODOS (TODOS) ,008 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 21 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,033 ,
30 ,PARTIDO REPUBLICANO (PR) ,000 ,
31 ,CAMBIO (CAMBIO) ,000 ,
32 ,PARTIDO AZUL (AZUL) ,003 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,000 ,
18 ,VICTORIA (VICTORIA) ,006 ,
36 ,VAMOS FOR UNA'GUATEMALA DIFERENTE (VAMOS) ,004 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,004 ,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,
37 ,UNION REPUBLICANA (UR) ,00 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PA N) ,00 3 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,000 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,003 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,00 2 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,00 3 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,024 ,
12 ,MI FAMILIA (MI FAMILIA) ,00 I ,
33 ,CABAL (CABAL) ,000 ,
17 ,VISION CON VALORES (VIVA) ,00 4 ,
22 ,PODEMOS (PODEMOS) ,00 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,00 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,048 ,





