Table: Table_1

Mesa Número ,1478 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,0 ,0 ,4 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,2 ,0 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,O ,3 ,3 ,,
30 ,PARTIDO REPUBLICANO (PR) ,O ,0 ,,,
31 ,CAMBIO (CAMBIO) ,0 ,0 ,1 ,,
32 ,PARTIDO AZUL (AZUL) ,O ,,5 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,O ,0 ,0 ,,
18 ,VICTORIA (VICTORIA) ,O ,,5 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,0 ,5 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,C ,,,,
26 ,BIENESTAR NACIONAL (BIEN) ,O ,,1 ,,
37 ,UNION REPUBLICANA (UR) ,,O ,2 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PA N) ,,,,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,O ,,1 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,0 ,O ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,1 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQI ,0 ,3 ,6 ,,
12 ,MI FAMILIA (MI FAMILIA) ,,0 0 ,2 ,,
33 ,CABAL (CABAL) ,O ,,3 ,,
17 ,VISION CON VALORES (VIVA) ,O ,0 ,8 ,,
:2 ,PODEMOS (PODEMOS) ,0 ,0 ,5 ,,
.16 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,0 ,0 ,1 ,,
10 ,COMPROMISO. RENOVACION Y ORDEN (CRED) ,0 ,7 ,3 ,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones políticas) ,2 ,,9 6 ,
Votos Nulos ,0 ,1 ,1 ,
Votos en Blanco ,0 ,0 ,2 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanco) ,2 ,I ,9 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos válidomente emitidos y votos inválidos) ,2 ,/ ,9 ,





