Table: Table_1

Mesa Número ,11 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas Votos Válidos ,
23 ,TODOS (TODOS) 1 3 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) 0 1 2 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) 3 D 5 ,
30 ,PARTIDO REPUBLICANO (PR) 1 1 ,
31 ,CAMBIO (CAMBIO) BY ,
32 ,PARTIDO AZUL (AZUL $ 1 1 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) 0 0 ,
18 ,VICTORIA (VICTORIA) ,
36 ,VAMOS POR UNA GUATEMAIA DIFERENTE (VAMOS) ,
28 ,a PARTIDO HUMANISTA DE S GUATEMALA (PHG) 1 ,
26 ,BIENESTAR NACIONAL (BIEN) of C 3 ,
37 ,UNION REPUBLICANA (UR) F. C 2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) a ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ( ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA 7 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,
12 ,, MI FAMILIA (MI FAMILIA) ,
33 ,CABAL (CABAL) I ,
17 ,VISION CON VALORES (VIVA) ,
22 ,PODEMOS (PODEMOS) ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) 5 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to sumo de los votos obtenidos por las organizaciones políticos) ,,50 ,,
Votos Nulos ,0 ,2 ,2 ,
Votos en Blanco ,,,,
Total Votos Válidamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blanco) ,2 ,,,
Votos Inválidos ,( ,,,
Total Votos (Es la sumo de las votos válidamente emitidos y votos invólidos) ,2 ,,,





