Table: Table_1

Mesa Número ,87 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,
23 ,TODOS (TODOS) ,003 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,006 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,022 ,
30- ,PARTIDO REPUBLICANO (PR) ,000 ,
31 ,CAMBIO (CAMSIO) ,001 ,
32 ,PARTIDO AZUL (AZUL ,000 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (Mtr) ,001 ,
18 ,VICTORIA (VICTORIA) ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,000 ,
26 ,BIENESTAR NACIONAL (BIEN) ,004 ,
37 ,UNION REPUBLICANA (UR) ,000 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,000 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,002 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,003 ,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,,
12 ,MI FAMILIA (M! FAMILIA) ,001 ,
33 ,CABAL (CABAL) ,001 ,
17 ,VISION CON VALORES (VIVA) ,002 ,
22 ,PODEMOS (PODEMOS) ,003 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,000 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,009 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones politicas) ,,8 ,2 ,
Votos Nulos ,,002 ,,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es to suma de los votos vólidos, votos nutos y votos en blanco) ,,084 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es lo sumo de los votos válidamente emitidos y votos invólidos) ,,084 ,,





