Table: Table_1

Mesa Número ,937 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Sigias ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,I ,2 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,1 ,1 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,8 ,6 ,
30 ,PARTIDO REPUBLICANO (PR) ,,0 ,1 ,
31 ,CAMBIO (CAMBIO) ,,0 ,I ,
32 ,PARTIDO AZUL (AZUL) ,,0 ,6 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,0 ,Z ,
18 ,VICTORIA (VICTORIA) ,,0 ,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,0 ,y ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,- ,- ,- ,
26 ,BIENESTAR NACIONAL (BIEN) ,,0 ,2 ,
37 ,UNION REPUBLICANA (UR) ,,0 ,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,0 ,/ ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL {PIN) ,- ,- ,- ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,- ,- ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA ,- ,- ,- ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,0 ,/ ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,5 ,2 ,
12 ,MIFAMILIA (MI FAMILIA) ,,0 ,/ ,
33 ,CABAL (CABAL) ,,0 ,4 ,
17 ,VISION CON VALORES (VIVA) ,,0 ,6 ,
22 ,PODEMOS (PODEMOS) ,,,04 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,- ,- ,- ,
20 ,COMPROMISO. RENOVACION Y ORDEN (CREO) ,,6 ,5 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por las organizaciones políticas) ,2 ,8 ,8 ,
Votos Nulos ,,Z ,2 ,
Votos en Blanco ,,0 ,3 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos vólidos, votos nulos y votos en blanco) ,2 ! ,8 ,P ,
Votos Inválidos ,,,,
Total Votos (Es la sumo de los votos vólidamente emitidos y votos invólidos) ,2 ,8 ,8 ,





