Table: Table_1

Mesa Número ,1998 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre Y Siglas ,Votos Válidos ,
23 ,TODOS (TODOS) ,0 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,6 ,
30 ,PARTIDO REPUBLICANO (PR) ,,
31 ,CAMBIO (CAMBIO) ,,
32 ,PARTIDO AZUL (AZUL) ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,
18 ,VICTORIA (VICTORIA) ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,
37 ,UNION REPUBLICANA (UR) ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 0 C ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,0 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAY ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,
12 ,MI FAMILIA (MI FAMILIA] ,,
33 ,CABAL (CABAL) : ,/ ,
17 ,VISION CON VALORES (VIVA) ,,
22 ,PODEMOS (PODÉMOS) ,1 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,DOD ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticas) ,,012 ,,
Votos Nulos ,,002 ,,
Votos en Blanco ,,00 ,,
Total Votos Validamente Emitidos (Es lo sumo de los votos válidos, votos nulos y votos en blanco) ,,01. ,4 ,
Votos Inválidos ,,0000 ,,
Total Votos (Es la sumo de los votos válidamente emitidos y votos invólidos) ,,1 ,4 ,





