Table: Table_1

Mesa Número ,95 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,01 ,3 ,
15 ,UNIDAD NACIONAL DE 1A ESPERANZA (UNE) ,01 ,7 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,05 ,1 ,
30 ,PARTIDO REPUBLICANO (PR) ,00 ,2 ,
31 ,CAMBIO {CAMBIO) ,00 ,3 ,
32 ,PARTIDO AZUL (AZUL) ,00 ,5 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,1 ,
18 ,VICTORIA (VICTORIA) ,00 ,a ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,1 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 ,2 ,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,1 ,
37 ,UNION REPUBLICANA (UR) ,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,000 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,001 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,00 ,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAL ,00 ,1 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,00 ,2 ,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,06 ,7 ,
12 ,MI FAMILIA (MI FAMILIA) ,00. ,1 ,
33 ,CABAL (CABAL) ,00 ,1 ,
17 ,VISION CON VALORES (VIVA) ,00 ,2 ,
22 ,PODEMOS (PODEMOS) ,01 ,7 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,00 ,1 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,045 ,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones politicas) ,,244 ,,
Votos Nulos ,,005 ,,
Votos en Blanco ,,001 ,,
Total Votos Válidamente Emitidos (Es to sumo de los votos vólidos, votos nutos y votos en bionco) ,,250 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos válidamente emitidos y votos Invólidos) ,,250 ,,





