Table: Table_1

Mesa Número ,1814 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones políticas) ,,1511 ,,
Votos Nulos ,,009 ,,
Votos en Blanco ,,002 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanco) ,,165 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de les votos vólidomente emitidos y votos inválidos) ,,165 ,,





Table: Table_3

Código ,Nombre Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,002 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,015 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,017 ,,
30 ,PARTIDO REPUBLICANO (PR) ,900 ,,
31 ,CAMBIO (CAMBIO) ,Co ,3 ,
32 ,PARTIDO AZUL (AZUL) ,206 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,001 ,,
18 ,VICTORIA (VICTORIA) ,CC3 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,028 ,8 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,000 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,0 ,
37 ,UNION REPUBLICANA (UR) ,00 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PA N ) ,00 ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL {PIN) ,000 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,00 ,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,002 ,,
88 ,SEMILLA URNG-MAIZ WINAQ {SEMILLA URNG-MAIZ WINAQ) ,C Z ,4 ,
12 ,MI FAMILIA (MI FAMILIA) ,000 ,,
33 ,CABAL (CABAL) ,00 ,6 ,
17 ,VISION CON VALORES (VIVA) ,00 ,1 ,
22 ,PODEMOS (PODEMOS) ,00 ,2 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,001 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO ) ,038 ,,





