Table: Table_1

Mesa Número ,1414 ,,
Departamento ,01 ,Guotemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones políticos) ,,23 ,7 ,
Votos Nulos ,,02 ,5 ,
Votos en Blanco ,,00 ,3 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanco) ,,26 ,5 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos válidamente emitidos y votos inválidos) ,,265 ,5 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,006 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,02 ,1 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,05 ,6 ,
30 ,PARTIDO REPUBLICANO (PR) ,00 ,2 ,
31 ,CAMBIO (CAMBIO) ,00 ,1 ,
32 ,PARTIDO AZUL {AZUL ,00 ,( ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,2 ,
18 ,VICTORIA (VICTORIA) ,00 ,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,( ,10 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 ,3 ,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,1 ,
37 ,UNION REPUBLICANA (UR) ,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,000 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,002 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,003 ,3 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,000 ,,
13 ,PARTIDO POLITICO NOSOTROS {PPN) ,00 ,4 ,
88 ,SEMILLA URNG-MAIZ WINAQ {SEMILLA URNG-MAIZ WINAQ} ,O 1 ,9 ,
12 ,MI FAMILIA {MI FAMILIA) ,00 ,1 ,
33 ,CABAL (CABAL) ,00 ,4 ,
17 ,VISION CON VALORES (VIVA) ,00 ,7 ,
22 ,PODEMOS (PODEMOS) ,00 ,9 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,00 ,2 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,() 7 ,4 ,





