Table: Table_1

Mesa Número ,1036 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre Siglas ,Votos Válidos ,
23 ,TODOS (TODOS) ,006 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,030 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,075 ,
30 ,PARTIDO REPUBLICANO (PR) ,002 ,
31 ,CAMBIO (CAMBIO) ,004 ,
32 ,PARTIDO AZUL (AZUL ) ,005 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,000 ,
18 ,VICTORIA (VICTORIA) ,00 3 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 / ,
26 ,BIENESTAR NACIONAL (BIEN) ,002 ,
37 ,UNION REPUBLICANA (UR) ,00 / ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,002 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,000 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,000 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,000 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,002 ,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,035 ,
12 ,MI FAMILIA (MI FAMILIA) ,000 ,
33 ,CABAL (CABAL) ,002 ,
17 ,VISION CON VALORES (VIVA) ,004 ,
22 ,PODEMOS (PODEMOS) ,010 ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,000 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,04. 5 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to sumo de los votos obtenidos por los organizaciones politicas) ,,235 ,,
Votos Nulos ,,017 ,,
Votos en Blanco ,,002 ,,
Total Votos Válidamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blonco) ,,254 ,,
Votos Inválidos ,,000 ,,
Total Votos (ES la sumo de los votos válidomente emitidos y votos inválidos) ,,254 ,,





