Table: Table_1

Mesa Número ,1259 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre Y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,006 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 / ,4 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,03 ,0 ,
30 ,PARTIDO REPUBLICANO (PR) ,0 0 ,0 ,
31 ,CAMBIO (CAMBIO) ,0 0 ,5 ,
32 ,PARTIDO AZUL (AZUL) ,0 0 ,5 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,1 ,
18 ,VICTORIA (VICTORIA) ,00 ,1 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,2 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 0 ,2 ,
26 ,BIENESTAR NACIONAL (BIEN) ,0 0 ,4 ,
37 ,UNION REPUBLICANA (UR) ,0 0 ,0 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PA N) ,00 ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 0 ,0 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,a 0 ,3 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,of 0 ,2 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,b 9 ,@ ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,00 ,0 ,
12 ,MI FAMILIA (MI FAMILIA) ,00 ,1 ,
33 ,CABAL (CABAL) ,00 ,1 ,
17 ,VISION CON VALORES (VIVA) ,0 0 ,8 ,
22 ,PODEMOS (PODEMOS) ,0 / ,2 ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,0 0 ,3 ,
20 ,COMPROMISO. RENOVACION Y ORDEN (CREO) ,0 5 ,4 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sume de los votos obtenidos por las organizaciones políticos) ,,258 ,,
Votos Nutos ,,00 ,5 ,
Votos en Blanco ,0 ,0 ,0 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanco) ,,26 ,3 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos vólidamente emitidos y votos invólidos) ,,26 ,3 ,





