Table: Table_1

Mesa Número ,1762 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones politicos) ,2 ,,E ,
Votos Nulos ,,I ,4 ,
Votos en Blanco ,,001 ,( ,
Total Votos Válidamente Emitidos (Es la sumo de los votos vólidos, votos nutos y votos en bianco) ,,247 ,,
Votos Inválidos ,,UCC ,,
Total Votos (Es la sump de los votos volidamente emitidos y votos invólidos) ,,247 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,004 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,013 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,044 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,002 ,,
31 ,CAMBIO (CAMBIO) ,( ,O ,4 ,
32 ,PARTIDO AZUL (AZUL ) ,,015 ,,
27 ,MOVIMIENTO PARA LA LIBERACIÓN DE LOS PUEBLOS (MLP) ,,UCI ,,
18 ,VICTORIA (VICTORIA) ,,U ,11 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,005 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,( ,U ,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,C04 ,,
37 ,UNION REPUBLICANA (UR) ,C ,( ,O ,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,,UCU ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,UCC ,C ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,00C ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,UUU ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,CC ,4 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,O ,3 ,4 ,
12 ,MI FAMILIA (MI FAMILIA) ,C ,0 ,1 ,
33 ,CABAL (CABAL) ,O ,(i ,I ,
17 ,VISION CON VALORES (VIVA) ,( ,U ,L ,
22 ,PODEMOS (PODEMOS) ,U ,() ,6 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,000 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,072 ,,





