Table: Table_1

Mesa Número ,1809 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,
23 ,TODOS (TODOS) ,00 3 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,01 8 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,01 8 ,
30 ,PARTIDO REPUBLICANO (PR) ,00 1 ,
31 ,CAMBIO (CAMBIO) ,00 0 ,
32 ,PARTIDO AZUL (AZUL) ,00 3 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 1 ,
18 ,VICTORIA (VICTORIA) ,00 2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,003 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,000 ,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,
37 ,UNION REPUBLICANA {UR} ,000 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,002 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,000 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,000 ,
80 ,COMITE CIVICO LA GOTA DE AGUA [COMITE CIVICO LA GOTA DE AGUA) ,000 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,00 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,045 ,
12 ,MI FAMILIA (MI FAMILIA) ,002 ,
33 ,CABAL (CABAL) ,00 : 3 ,
17 ,VISION CON VALORES (VIVA) ,00 4 ,
22 ,PODEMOS (PODEMOS) ,003 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,00 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,073 ,





Table: Table_3

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to suma de los votos obtenidos por las organizaciones políticas) ,,184 ,,
Votos Nulos ,,012 ,,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es to suma de las votos válidos, votos nutos y votos en blanco) ,,19 ,6 ,
Votos Inválidos ,,00 ,0 ,
Total Votos (Es la suma de los votos vólidamente emitidos y votos Invólidos) ,,19 ,6 ,





