Table: Table_1

Mesa Número ,1094 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones políticas) ,2 ,6 ,2 ,
Votos Nulos ,0 ,1 ,3 ,
Votos en Blanco ,,000 ,0 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos vólidos, votos nulos y votos en blanco) ,,275 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votas válidamente emitidos y votos invólidos) ,,275 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,,9 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,02 ,Y ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,104 ,,
30 ,PARTIDO REPUBLICANO (PR) ,DOO ,,
31 ,CAMBIO (CAMBIO) ,001 ,,
32 ,PARTIDO AZUL (AZUL) ,01 ,2 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,\ ,
18 ,VICTORIA (VICTORIA) ,00 ,\ ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,000 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,003 ,,
37 ,UNION REPUBLICANA (UR) ,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,00 ,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,000 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,000 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,00 ,I ,
13 ,PARTIDO POUTICO NOSOTROS (PPN) ,,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0212 ,,
12 ,MI FAMILIA (MI FAMIUA) ,000 ,: ,
33 ,CABAL (CABAL) ,001 ,,
17 ,VISION CON VALORES (VIVA) ,003 ,,
22 ,PODEMOS (PODEMOS) ,010 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,00 ,0 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO; ,00 ,3 ,





