Table: Table_1

Mesa Número ,268 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01. ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,0 ,10 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,O ,20 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,8 ,S ,
30 ,PARTIDO REPUBLICANO (PR) ,00 ,,4 ,
31 ,CAMBIO (CAMBIO) ,00 ,,5 ,
32 ,PARTIDO AZUL (AZUL) ,,1 ,3 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,O ,0 ,3 ,
18 ,VICTORIA (VICTORIA) ,or ,,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,,5 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 ,,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,,1 ,
37 ,UNION REPUBLICANA (UR) ,00 ,,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,00 ,,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,00 ,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,on ,,0 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAT ,00 ,,0 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,00 ,,6 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,O ,2 ,7 ,
12 ,MI FAMILIA (MI FAMILIA) ,00 ,,1 ,
33 ,CABAL (CABAL) ,,,0 ,
17 ,VISION CON VALORES (VIVA) ,00 ,,8 ,
22 ,PODEMOS (PODEMOS) ,00 ,,7 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,00 ,,1 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,04 ,,9 ,





Table: Table_3

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to suma de los votos obtenidos por los organizaciones políticas) ,,253 ,,
Votos Nulos. ,,1 ,4 ,
Votos en Blanco ,,00 ,c ,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nutos y votos en bianco) ,,267 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos vdidamente emitidos y votos invólidos) ,,267 ,,





