Table: Table_1

Mesa Número ,1726 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,007 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,6 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,05 ,6 ,
30 ,PARTIDO REPUBLICANO (PR) ,00 ,3 ,
31 ,CAMBIO (CAMBIO) ,0 1 ,0 ,
32 ,PARTIDO AZUL (AZUL) ,00 ,9 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,000 ,,
18 ,VICTORIA (VICTORIA) ,002 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,I ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 ,\ ,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,6 ,
37 ,UNION REPUBLICANA (UR) ,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL [PAN) ,001 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,00 ,\ ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,000 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,001 ,,
13 ,PARTIDO POUTICO NOSOTROS (PPN) ,000 ,,
88 ,SEMILLA VRNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,05 ,3 ,
12 ,MI FAMILIA (MI FAMILIA) ,000 ,,
33 ,CABAL (CABAL) ,002 ,,
17 ,VISION CON VALORES (VIVA) ,002 ,,
22 ,PODEMOS (PODEMOS) ,01 ,3 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,00 ,\ ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,061 ,4 ,





Table: Table_3

Código Nombre Y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por las organizaciones políticas) ,,249 ,,
Votos Nulos ,,008 ,,
Votos en Blanco ,,,,
Total Votos Válidamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blanco) ,,25 ,+ ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos vólidamente emitidos y votos invólidos) ,,25 ,7 ,





