Table: Table_1

Mesa Número ,411 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,- ,- ,8 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,- ,2 ,7 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,- ,4 ,5 ,
30 ,PARTIDO REPUBLICANO (PR) ,- ,- ,O ,
31 ,CAMBIO (CAMBIO) ,- ,- ,3 ,
32 ,PARTIDO AZUL (AZUL : ,- ,- ,3 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,- ,- ,O ,
18 ,VICTORIA (VICTORIA) ,- ,- ,8 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,- ,- ,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,- ,- ,0 ,
26 ,BIENESTAR NACIONAL (BIEN) ,- ,- ,2 ,
37 ,UNION REPUBLICANA (UR) ,- ,- ,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,- ,- ,3 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,- ,- ,0 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,- ,- ,3 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,- ,- ,0 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,- ,- ,0 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,- ,2 ,4 ,
12 ,MI FAMILIA (MI FAMILIA) ,- ,- ,2 ,
33 ,CABAL (CABAL) ,- ,- ,2 ,
17 ,VISION CON VALORES (VIVA) ,- ,1 ,1 ,
22 ,PODEMOS (PODEMOS) ,- ,1 ,1 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,- ,- ,2 ,
20 ,COMPROMISO. RENOVACION Y ORDEN (CREO) ,- ,6 ,3 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones políticas) ,2 ,,5 ,
Votos Nulos ,- ,2 ,7 ,
Votos en Blanco ,- ,- ,31 ,
Total Votos Validamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blanco) ,,255 ,,
Votos Inválidos ,,- ,0 ,
Total Votos (Es la sumo de los votos vólidamente emitidos y votos inválidos) ,,25. ,5 ,





