Table: Table_1

Mesa Número ,1326 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones políticas) ,,148 ,,
Votos Nulos ,0 ,,3 ,
Votos en Blanco ,,00 ,1 ,
Total Votos Validamente Emitidos (Es to sumo de los votos válidos, votos nulos y votos en blanco) ,,000 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos vólidamente emitidos votos invólidos) ,1 ,,,





Table: Table_3

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,006 ,,
7 15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,O 2 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,O 2 ,,
30 ,PARTIDO REPUBLICANO (PR) ,000 ,,
31 ,CAMBIO (CAMBIO) ,003 ,,
32 ,PARTIDO AZUL (AZUL) ,00 ,1 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,000 ,,
18 ,VICTORIA (VICTORIA) ,00 ,3 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,4 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,1 ,
26 ,BIENESTAR NACIONAL [BIEN} ,a O ,2 ,
37 ,UNION REPUBLICANA (UR) ,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,003 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,000 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,QC2 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,001 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,024 ,,
12 ,MI FAMILIA (MI FAMILIA) ,000 ,,
33 ,CABAL (CABAL) ,000 ,,
17 ,VISION CON VALORES (VIVA) ,001 ,,
22 ,PODEMOS (PODEMOS) ,00 ,5 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,90 ,0 ,
20 ,COMPROMISO. RENOVACION Y ORDEN (CREO) ,046 ,,





