Table: Table_1

Mesa Número ,1074 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to sumo de los votos obtenidos por los organizaciones políticas) ,2 ,2 ,1 ,
Votos Nulos ,- ,,12 ,
Votos en Blanco ,1 ,,07 ,
Total Votos Validamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,,400 ,,
Votos Inválidos ,,,,
Total Votos (ES la suma de los votos válidamente emitidos y votos invólidos) ,,400 ,,





Table: Table_3

Código ,Nombre Y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,- ,- ,4 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,- ,2 ,7 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,- ,4 ,1 ,
30 ,PARTIDO REPUBLICANO (PR) ,- ,- ,1 ,
31 ,CAMBIO (CAMBIO) ,- ,- ,4 ,
32 ,PARTIDO AZUL (AZUL) ,- ,- ,4 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,
18 ,VICTORIA (VICTORIA) ,,- ,1 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,,
26 ,BIENESTAR NACIONAL (BIEN) ,- ,- ,7 ,
37 ,UNION REPUBLICANA (UR) ,,,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,- ,- ,4 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,- ,7 ,4 ,
12 ,MI FAMILIA (MI FAMILIA) ,,,,
33 ,CABAL (CABAL) ,,,,
17 ,VISION CON VALORES (VIVA) ,,- ,2 ,
22 ,PODEMOS (PODEMOS) ,- ,1 ,7 ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,,,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,- ,,35 ,





