Table: Table_1

Mesa Número ,1388 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,009 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,02 2 ,6 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,033 ,,
30 ,PARTIDO REPUBLICANO (PR) ,000 ,,
31 ,CAMBIO (CAMBIO) ,002 ,,
32 ,PARTIDO AZUL (AZUL ,006 ,,
27 ,MOVIMIENTO PARA LA LIBERACION OF LOS PUEBLOS (MLP) ,000 ,,
18 ,VICTORIA (VICTORIA) ,006 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 ,2 ,
26 ,BIENESTAR NACIONAL (BIEN) ,003 ,,
37 ,UNION REPUBLICANA (UR) ,00 ,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,00 ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,00 ,2 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,000 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAI ,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,00 ,2 ,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,02 ,8 ,
12 ,MI FAMILIA (MI FAMILIA) ,00 ,,
33 ,CABAL (CABAL) ,006 ,,
17 ,VISION CON VALORES (VIVA) ,006 ,,
22 ,PODEMOS (PODEMOS) ,00 ,5 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,00 ,1 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,05 ,7 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones políticas) ,,201 ,,
Votos Nulos ,0 ,I ,4 ,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,,215 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es lo suma de los votos válidamente emitidos y votos inválidos) ,,215 ,,





