Table: Table_1

Mesa Número ,729 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,,
23 ,TODOS (TODOS) ,,006 ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,007 ,,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,35 ,,,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,,
31 ,CAMBIO (CAMBIO) ,,005 ,,,
32 ,PARTIDO AZUL (AZUL ,,006 ,,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,,
18 ,VICTORIA (VICTORIA) ,,,2 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,3 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,000 ,,,
26 ,BIENESTAR NACIONAL (BIEN) ,,0 ,4 ,,
37 ,UNION REPUBLICANA (UR) ,,,,,
25 ,PARTIDO DE AVANZADA NACIONAL (P N) ,,,,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,0 ,2 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,3 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA ,,000 ,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,00 ,3 ,,
88 ,SEMILLA URNG-MAIZ WINAQ [SEMILLA URNG-MAIZ WINAQ) ,,1 ,2 ,,
12 ,MI FAMILIA (MI FAMILIA) ,,,I ,,
33 ,CABAL (CABAL) ,,,4 ,,
17 ,VISION CON VALORES (VIVA) ,,,I ,,
22 ,PODEMOS (PODEMOS) ,,I ,4 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,,,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,053 ,,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por las organizaciones políticas) ,,6 ,,
Votos Nulos ,,009 ,,
Votos en Blanco ,,000 ,,
Total Votos Validamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,,270 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es lo sumo de los votos vólldomente emitidos y votos invólidos) ,2 ,7 ,,





