Table: Table_1

Mesa Número ,2012 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,000 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,004 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,0 ,
31 ,CAMBIO (CAMBIO) ,0 0 ,0 ,
32 ,PARTIDO AZUL (AZUL) ,J ,0 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,0 ,G ,
18 ,VICTORIA (VICTORIA) ,00 ,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 ,0 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,0 ,,
37 ,UNION REPUBLICANA (UR) ,0 ,0 ,
25 ,PARTIDO DE AVANZADA NACIONAL IP AN) ,0 0 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 0 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION ,0 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA {COMITE CIVICO LA GOTA DE AGUA) ,0 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,00 ,3 ,
12 ,MI FAMILIA (M) FAMILIA) ,,,
33 ,CABAL (CABAL) ,0 0 ,0 ,
17 ,VISION CON VALORES (VIVA) ,00 ,/ ,
22 ,PODEMOS (PODEMOS) ,00 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,C 0 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,001 ,,





Table: Table_3

Código Nombre Y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones politicas) ,0 ,/ ,/ ,
Votos Nulos ,,000 ,,
Votos en Blanco ,0 ,,,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,0 ,/ ,/ ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos vólidamente emitidos y votos invólidos) ,,,,





