Table: Table_1

Mesa Número ,430 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,,
23 ,TODOS (TODOS) ,,009 ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,,2 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,,,,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,,
31 ,CAMBIO (CAMBIO) ,,004 ,,,
32 ,PARTIDO AZUL (AZUL) ,,009 ,,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,1 ,,
18 ,VICTORIA (VICTORIA) ,,007 ,,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,3 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,0 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,,3 ,,
37 ,UNION REPUBLICANA (UR) ,,,0 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,2 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,O ,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,0 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,O ,O ,2 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,4 ,7 ,,
12 ,MI FAMILIA {MI FAMILIA) ,O ,'O ,2 ,,
33 ,CABAL (CABAL) ,,003 ,,,
17 ,VISION CON VALORES (VIVA) ,,0 ,4 ,,
22 ,PODÉMOS (PODEMOS) ,,008 ,,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,002 ,2 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,O ,5 ,5 ,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones políticos) ,,251 ,,
Votos Nulos ,,019 ,,
Votos en Blanco ,,002 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos vólidos, votos nulos y votos en blanco) ,,272 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos válidomente emitidos y votos inválidos) ,2 ,7 ,2 ,





