Table: Table_1

Mesa Número ,1793 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,006 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,05 ,1 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,03 ,1 ,
30 ,PARTIDO REPUBLICANO (PR) ,00 ,,
31 ,CAMBIO (CAMBIO) ,00 ,1 ,
32 ,PARTIDO AZUL (AZUL) ,00 ,4 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,2 ,
18 ,VICTORIA (VICTORIA) ,005 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,000 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,001 ,,
37 ,UNION REPUBLICANA (UR) ,00 ,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,00 ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 02 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,001 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,002 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,004 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ ,O ,31 ,
12 ,MI FAMILIA (M) FAMILIA) ,001 ,,
33 ,CABAL (CABAL) ,002 ,,
17 ,VISION CON VALORES (VIVA) ,01 ,2 ,
22 ,PODEMOS (PODEMOS) ,00 ,1 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,000 ,,
20 ,COMPROMISO RENOVACION Y ORDEN (CREO) ,080 ,,





Table: Table_3

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticas) ,,248 ,,
Votos Nulos ,,01 ,5 ,
Votos en Blanco ,,002 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos vólidos, votos nulos y votos en blanco) ,,266 ,,
Votos Inválidos ,,001 ,,
Total Votos (ES to sumo de los votos válidamente emitidos`y votos invólidos) ,,266 ,,





