Table: Table_1

Mesa Número ,1477 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,,4 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 1 ,6 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,05 ,O ,
30 ,PARTIDO REPUBLICANO (PR) ,000 ,,
31 ,CAMBIO (CAMBIO) ,,2 ,
32 ,PARTIDO AZUL (AZUL! ,,4 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,000 ,,
18 ,VICTORIA (VICTORIA) ,,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,3 ,
25 ,SIENESTAR NACIONAL (BIEN) ,,1 ,
37 ,UNION REPUBLICANA (UR) ,O ,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,0 0 ,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,000 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL [FCN-NACION] ,000 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAT ,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,0 0 ,3 ,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ] ,0 3 ,7 ,
12 ,MI FAMILIA (MI FAMILIA) ,0.00 ,,
33 ,CABAL (CABAL) ,004 ,,
17 ,VISION CON VALORES (VIVA) ,005 ,,
22 ,PODEMOS (PODEMOS) ,,5 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,O 0 ,2 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,0 8 ,8 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to sumo de los votos obtenidos por las organizaciones políticas) ,,232 ,,
Votos Nulos ,,010 ,,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,2 ,,2 ,
Votos Inválidos ,,000 ,,
Total Votos (Es in suma de los votos vólidamente emitidos y votos inválidos) ,2 ,4 ,2 ,





