Table: Table_1

Mesa Número ,1177 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,
23 ,TODOS (TODOS) 20.11 ,003 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) /019/ ,005 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) /0:61 ,,
30 ,PARTIDO REPUBLICANO (PR) 1000/ ,003 ,
31 ,CAMBIO (CAMBIO) /orz/ ,e 0 2 ,
32 ,PARTIDO AZUL (AZUL) / ,to ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) /ooul ,005 ,
18 ,VICTORIA (VICTORIA) /01.11 ,000 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) 1.11 ,002 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA \ (PHG) 10001 ,000 ,
26 ,BIENESTAR NACIONAL (BIEN) 1.0.1 ,009 ,
37 ,UNION REPUBLICANA (UR) 10001 ,000 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) 10021 ,007 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) 10001 ,000 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) 10001 ,000 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) 10001 ,000 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) 10001 ,00+ ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ 1.401 ,2 ,
12 ,MI FAMILIA (MI FAMILIA) 10001 ,001 ,
33 ,CABAL (CABAL) 1007/ ,OHT ,
17 ,VISION CON VALORES (VIVA) 1004/ ,004 ,
22 ,PODEMOS (PODEMOS) 10141 ,001 ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,10.1000 ,
20 ,COMPROMISO RENOVACION Y ORDEN (CREO) ,10751023 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos ,,1275/ ,,
(Es lo sumo de los votos obteridos por las organizaciones políticas) ,,257 ,,
Votos Nulos ,10 Q ,0 2 ,81 b ,
Votos en Blanco ,,007 ,,
Total Votos Válidamente Emitidos (Es la sump de los votos vólidos, votas nulos y votos en bianco) ,,290 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es to suma de los votos válidamente emitidos y votos invólidos) ,,270 ,,





