Table: Table_1

Mesa Número ,1395 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,007 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,02 ,0 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,O 3 ,8 ,
30 ,PARTIDO REPUBLICANO (PR) ,000 ,,
31 ,CAMBIO (CAMBIO) ,0 ,3 ,
32 ,PARTIDO AZUL (AZUL) 4 ,,b ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,0 ,,
18 ,VICTORIA (VICTORIA) ,,1 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,4 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,4 ,
37 ,UNION REPUBLICANA (UR) ,,,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,2 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,00 ,2 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAL ,00 ,0 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,00 ,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,9 ,
12 ,MI FAMILIA (MI FAMILIA} ,00 ,0 ,
33 ,CABAL (CABAL) ,00 ,1 ,
17 ,VISION CON VALORES (VIVA) ,00 ,3 ,
22 ,PODEMOS (PODEMOS) ,e 1 ,0 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,1 ,2 ,
20 ,COMPROMISO RENOVACION Y ORDEN (CREO) ,05 ,1 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to suma de tos votos obtenidos por los organizaciones políticas) ,,177 ,,
Votos Nulos ,,01 ,7 ,
Votos en Blanco ,,000 ,,
Total Votos Validamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,,9 ,4 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos vólidomente emitidos y votos invólidos) ,,9 ,4 ,





