Table: Table_1

Mesa Número ,1783 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,
23 ,TODOS (TODOS) ,,8 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,1 2 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,) 8 ,
30 ,PARTIDO REPUBLICANO [PR] ,,00 ,
31 ,CAMBIO (CAMBIO) ,,01 ,
32 ,PARTIDO AZUL (AZUL) ,,15 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,0 ,
18 ,VICTORIA (VICTORIA) ,,09 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,00 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,00 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,02 ,
37 ,UNION REPUBLICANA [UR) ,,00 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,0 0 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,0 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,0 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,0 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,0 2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,7 6 ,
12 ,MI FAMILIA (MI FAMILIA) ,,0 2 ,
33 ,CABAL (CABAL) ,,0 2 ,
17 ,VISION CON VALORES (VIVA) ,,0 5 ,
22 ,PODEMOS (PODEMOS) ,,0 7 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,00 0 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,60 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones políticas) ,,221 ,,
Votos Nulos ,,0 ,2 ,
Votos en Blanco ,,0 ,2 ,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidas, votos nulos y votos en bionco) ,,22 ,5 ,
Votos Inválidos ,,,,
Total Votos (Es la sumo de los votos válidamente emitidos y votos invólidos) ,,,,





