Table: Table_1

Mesa Número ,823 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,
23 ,TODOS (TODOS) ,00 6 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,024 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,103 ,
30 ,PARTIDO REPUBLICANO (PR) ,000 ,
31 ,CAMBIO (CAMBIO) ,00 2 ,
32 ,PARTIDO AZUL (AZUL) ,01 4 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,001 ,
18 ,VICTORIA (VICTORIA) ,00 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,006 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 / ,
26 ,BIENESTAR NACIONAL (BIEN) ,00 0 ,
37 ,UNION REPUBLICANA (UR) ,000 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,000 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,006 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,000 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,001 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,000 ,
88 ,SEMILLA URNG-MAIZ WINAQ ISEMILLA URNG-MAIZ WINAQ) ,025 ,
12 ,MIFAMILIA (MI FAMILIA] ,000 ,
33 ,CABAL (CASAL) ,00 3 ,
17 ,VISION CON VALORES (VIVA) ,00 / ,
22 ,PODEMOS (PODEMOS) ,01 0 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,1000 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,060 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (ES la sumo de los votos obtenidos por los organizaciones políticas) ,,251 ,8 ,
Votos Nulos ,0 ,/ ,8 ,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blanco) ,,276 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos vólidamente emitidos y votos Inválidos) ,,276 ,,





