Table: Table_1

Mesa Número ,1687 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los orgonizaciones políticas) ,,216 ,,
Votos Nulos ,,018 ,,
Votos en Blanco ,,003 ,,
Total Votos Validamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en bionco) ,,237 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es lo sumo de los votos válidamente emitidos y votos invólidos) ,,237 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,002 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,/ ,8 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,4 ,8 ,
30 ,PARTIDO REPUBLICANO (PR) ,0 ,0 ,0 ,
31 ,CAMBIO (CAMBIO) ,,003 ,,
32 ,PARTIDO AZUL (AZUL ,,003 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,000 ,,
18 ,VICTORIA (VICTORIA) ,,003 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,006 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,0 ,2 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,0 ,/ ,
37 ,UNION REPUBLICANA (UR) ,,,/ ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,004 ,,
34 ,PARTIDO DE INTEGRACION NACIONAL (PIN) ,,001 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,0 ,0 ,0 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAI ,,,/ ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,0 ,3 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,/ ,8 ,
12 ,MI FAMILIA (MI FAMILIA) ,,000 ,,
33 ,CABAL (CABAL) ,,005 ,,
17 ,VISION CON VALORES (VIVA) ,,008 ,,
22 ,PODEMOS (PODEMOS) ,,008 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,00 ,/ ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,08 ,0 ,





