Table: Table_1

Mesa Número ,1953 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,- ,- ,6 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,- ,- ,8 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,- ,29 ,,
30 ,PARTIDO REPUBLICANO (PR) ,- ,- ,- ,
31 ,CAMBIO (CAMBIO) ,- ,- ,1 ,
32 ,PARTIDO AZUL (AZUL) ,- ,- ,I ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,- ,- ,- ,
18 ,VICTORIA (VICTORIA) ,- ,- ,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,- ,- ,4 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,- ,- ,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,- ,- ,1 ,
37 ,UNION REPUBLICANA (UR) ,- ,- ,- ,
25 ,PARTIDO DE AVANZADA NACIONAL {P AN] ,- ,- ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,- ,- ,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,- ,- ,- ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,- ,- ,- ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,- ,- ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,- ,,17 ,
12 ,MI FAMILIA (MI FAMILIA) ,- ,- ,- ,
33 ,CABAL (CABAL) ,- ,- ,2 ,
17 ,VISION CON VALORES (VIVA) ,- ,- ,5 ,
22 ,PODEMOS (PODEMOS) ,- ,- ,9 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,- ,- ,1 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,- ,3 ,D ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sump de los votos obtenidos por las organizaciones politicas) ,1 ,3 ,2 ,
Votos Nulos ,- ,- ,,
Votos en Blanco ,- ,- ,- ,
Total Votos Validamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanco) ,,14 ,0 ,
Votos inválidos ,,- ,,
Total Votos (Es lo sumo de los votos vólidamente emitidos y votos inválidos) ,14 ,,0 ,





