Table: Table_1

Mesa Número ,1703 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,C ,U ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 1 ,2 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 2 ,3 ,
30 ,PARTIDO REPUBLICANO (PR) ,O ,1 ,
31 ,CAMBIO (CAMBIO) ,O 0 ,2 ,
32 ,PARTIDO AZUL (AZUL) ,0 ,2 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,O ,0 ,
18 ,VICTORIA (VICTORIA) ,O ,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 0 ,2 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,O a ,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,2 ,
37 ,UNION REPUBLICANA (UR) ,0 0 ,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,0 0 ,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,U ,0 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,1 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,0 O ,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,C 2 ,8 ,
12 ,MI FAMILIA (MI FAMILIA) ,O O ,1 ,
33 ,CABAL (CABAL) ,0 0 ,5 ,
17 ,VISION CON VALORES (VIVA) ,0 O ,5 ,
22 ,PODEMOS (PODEMOS) ,0 O ,9 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,0 0 ,0 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,0 5 ,3 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to sumo de los votos obtenidos por las organizaciones políticas) ,1 ,8 ,2 ,
Votos Nulos ,0 ,1 ,4 ,
Votos en Blanco ,,,,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanco) ,1 ,a ,0 ,
Votos inválidos ,,000 ,,
Total Votos (Es la suma de los votos vólidamente emitidos y votos invólidos) ,,19 ,,





