Table: Table_1

Mesa Número ,1207 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,,2 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,2 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,O ,195 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,,,
31 ,CAMBIO (CAMBIO) ,) ,O ,1 ,
32 ,PARTIDO AZUL (AZUL) ,0 ,0 ,8 ,
27 ,MOVIMIENTO PARA LA LIBERACIÓN DE LOS PUEBLOS (MLP) ,O ,O ,1 ,
18 ,VICTORIA (VICTORIA) ,,O ,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,O ,7 ,
28, ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,0 ,( ) ,
26 ,BIENESTAR NACIONAL (BIEN) ,,,,
37 ,UNION REPUBLICANA (UR) ,,100 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PA N) ,,,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,U ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,O ,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAI ,,,U ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,O ,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,O ,3 ,3 ,
12 ,MI FAMILIA (MI FAMILIA) ,0 ,0 ,2 ,
33 ,CABAL (CABAL) ,) ,2 ,3 ,
17 ,VISION CON VALORES (VIVA) ,() ,O ,4 ,
22 ,PODEMOS (PODEMOS) ,) ,1 ,) ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO {PODER} ,,000 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,055 ,,





Table: Table_3

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es lo sumo de los votos obtenidos por los organizaciones políticas) ,,262 ,,
Votos Nulos ,,010 ,,
Votos en Blanco ,,U01 ,,
Total Votos Validamente Emitidos (Es la sumo de los votos vólidos, votos nulos y votos en blanco) ,,283 ,,
Votos Inválidos ,,,,
Total Votos (Es to sumo de los votos válidamente emitidos y votos inválidos) ,,,3 ,





