Table: Table_1

Mesa Número ,1268 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,008 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,01 ,S ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,02 ,S ,
30 ,PARTIDO REPUBLICANO (PR) ,000 ,,
31 ,CAMBIO (CAMBIO) ,00 ,3 ,
32 ,PARTIDO AZUL (AZUL) ,00 ,S ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,1 ,
18 ,VICTORIA (VICTORIA) ,0 0 ,3 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 ,2 ,
26 ,BIENESTAR NACIONAL (SIEN) ,0 0 ,1 ,
37 ,UNION REPUBLICANA (UR) ,00 ,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PA N) ,00 ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,00 ,3 ,
15 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,00 ,2 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,0 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,3 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,O 1 ,9 ,
12 ,MI FAMILIA (MI FAMILIA) ,00 ,3 ,
33 ,CABAL (CABAL) ,00 ,2 ,
17 ,VISION CON VALORES (VIVA) ,0 ,9 ,
22 ,PODEMOS (PODEMOS) ,0 ,6 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,1 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,7 ,S ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones políticas) ,1 ,9 ,1 ,
Votos Nulos ,,01 ,7 ,
Votos en Blanco ,,00 ,2 ,
Total Votos Válidamente Emitidos (Es to sumo de los votos válidos, votos nulos y votos en bionco) ,,21 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos válidomente emitidos y votos Invólidos) ,2 ,1 ,,





