Table: Table_1

Mesa Número ,1565 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticas) ,,256 ,,
Votos Nulos ,O ,Z ,I ,
Votos en Blanco ,,00 ,3 ,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,,285 ,,
Votos Inválidos ,,115 ,,
Total Votos (Es lo sumo de los votos válidamente emitidos votos invólidos) ,,400 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS(TODOS) ,,007 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,,f ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,O ,6 ,2 ,
30 ,PARTIDO REPUBLICANO (PR) ,,,1 ,
31 ,CAMBIO (CAMBIO) ,,,6 ,
32 ,PARTIDO AZUL (AZUL ,,,7 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP} ,,,O ,
18 ,VICTORIA (VICTORIA) ,O ,O ,6 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 ,O ,4 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,[ ,( ,O ,
26 ,BIENESTAR NACIONAL (BIEN) ,,O ,I ,
37 ,UNION REPUBLICANA (UR) ,,,,
25 ,PARTIDO DE AVANZADA NACIONAL (P N) ,,,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,4 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION ,,O ,4 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,0 ,O ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,D ,Z ,
88 ,SEMILLA URNG-MAIZ WINAQ {SEMILLA URNG-MAIZ WINAQ ,O ,3 ,t ,
12 ,MI FAMILIA (MI FAMILIA) ,O ,O ,Z ,
33 ,CABAL (CABAL) ,O ,O ,,
17 ,VISION CON VALORES (VIVA) ,,O ,3 6 ,
22 ,PODEMOS (PODEMOS) ,,,8 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,,3 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,O ,8 ,,





