Table: Table_1

Mesa Número ,989 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones politicas) ,,242 ,,
Votos Nulos ,,006 ,,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (E5 la suma de los votos válidos, votos nulos y votos en blanco) ,,248 ,,
Votos Inválidos ,,000 ,,
Total Votos (ES la suma de los votos vólidamente emitidos y votos invólidos) ,,248 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,009 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 1 ,9 ,
411 ,VALOR UNIONISTA (VALOR UNIONISTA) ,04 ,8 ,
30 ,PARTIDO REPUBLICANO (PR) ,001 ,,
31 ,CAMBIO (CAMBIO) ,004 ,,
32 ,PARTIDO AZUL (AZUL) ,003 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,001 ,,
18 ,VICTORIA (VICTORIA) ,00 ,6 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,005 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,000 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,002 ,,
37 ,UNION REPUBLICANA (UR) ,CO ,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,00 ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,00 ,2 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,003 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,C05 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,057 ,,
12 ,MI FAMILIA (MI FAMILIA) ,000 ,,
33 ,CABAL (CABAL) ,003 ,,
17 ,VISION CON VALORES (VIVA) ,002 ,,
22 ,PODEMOS (PODEMOS) ,0 1 ,6 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,000 ,,
20 ,COMPROMISO. RENOVACION y ORDEN (CREO) ,05 ,3 ,





