Table: Table_1

Mesa Número ,1172 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,,19 ,
41 ,VALOR UNIONISTA VALOR UNIONISTA) ,0 ,173 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,
31 ,CAMBIO {CAMBIO) ,,,,
32 ,PARTIDO AZUL (AZUL) ,,10 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,
18 ,VICTORIA (VICTORIA) ,,000 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,,
26 ,BIENESTAR NACIONAL (BIEN) ,,,6 ,
37 ,UNION REPUBLICANA {UR] ,,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,3 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FGN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,,
13 ,PARTIDO POLITICO NOSOTROS {PPN) ,,000 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,42 ,,
12 ,MI FAMILIA (MI FAMILIA MLR ,,,01 ,
33 ,CABAL (CABAL) ,,,,
17 ,VISION CON VALORES (VIVA) Ja ,1000 ,,3 ,
22 ,PODEMOS (PODEMOS) P ,,LOGO ,9 ,
116 ,PARTIDO DE OPORTUNIDADEST Rhould ,,,,
20 ,COMPROMISO RENOVACION Y ORDEN (CREQ ,0 ,5 ,4 ,





Table: Table_3

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sume de las votos obtenjdos por los organizaciones politicas) ,,241 ,,
Votos Nulos ,,012 ,,
Votos en Blanco ,,008 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanco) ,,262 ,,
Votos inválidos ,,000 ,,
Total Votos (Es la sumo de los votos válidamente emitidos y votos invólidos) ,,26: ,,





