Table: Table_1

Mesa Número ,452 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,0 ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,005 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,054 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,
31 ,CAMBIO (CAMBIO) ,,005 ,,
32 ,PARTIDO AZUL (AZUL) ,0 ,O ,9 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,1 ,
18 ,VICTORIA (VICTORIA) ,,001 ,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,000 ,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,002 ,2 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,,5 ,
37 ,UNION REPUBLICANA (UR) ,,,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL {FCN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,00 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,008 ,,
88 ,SEMILLA URNG-MAIZ WINAO {SEMILLA URNG-MAIZ WINAQ) ,,5 ,1 ,
12 ,MI FAMILIA (MI FAMILIA) ,,0 ,1 ,
33 ,CABAL (CABAL) ,,003 ,,
17 ,VISION CON VALORES (VIVA) ,,000 ,,
22 ,PODEMOS (PODEMOS) ,0 ,1 ,5 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,002 ,,
20 ,COMPROMISO, RENOVACION y ORDEN (CREO) ,,07 ,I ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos par las organizaciones politicos) ,,255 ,,
Votos Nulos ,,019 ,,
Votos en Blanco ,,002 ,,
Total Votos Validamente Emitidos (Es to sumo de los votos válidos, votos nulos y votos en bianco) ,,276 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es lo suma de los votos válidomente emitidos y votos inválidos) ,,276 ,,





