Table: Table_1

Mesa Número ,1544 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,003 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,008 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,2 ,5 ,
30 ,PARTIDO REPUBLICANO (PR) ,,002 ,,
31 ,CAMBIO (CAMBIO) ,,002 ,,
32 ,PARTIDO AZUL (AZUL) ,,003 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,
18 ,VICTORIA (VICTORIA) ,,,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,002 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,001 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,00 ,2 ,
37 ,UNION REPUBLICANA (UR) ,,00 ,0 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P N) ,,00 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,00 ,0 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,0 ,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,002 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,063 ,5 ,
12 ,MIFAMILIA (MI FAMILIA) ,,00 ,0 ,
33 ,CABAL (CABAL) ,,00 ,2 ,
17 ,VISION CON VALORES (VIVA) ,0 ,0 ,2 ,
22 ,PODEMOS (PODEMOS) ,0 ,1 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO {PODER) ,,00 ,1 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,03 ,9 ,





Table: Table_3

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por las organizaciones politicas) ,1 ,73 ,,
Votos Nulos ,,004 ,,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos vólidos, votos nulos y votos en blanco) ,1 ,,77 ,
Votos Inválidos ,,000 ,,
Total Votos (Es to sumo de los votos vólidamente emitidos y votos invólidos) ,1 ,,77 ,





