Table: Table_1

Mesa Número ,2013 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticos) ,,006 ,,
Votos Nulos ,,00 ,( ,
Votos en Blanco ,,000 ,,
Total Votos Validamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blanco) ,,,06 ,
Votos Inválidos ,,,1 ,
Total Votos (Es lo sumo de los votos vólidamente emitidos y votos invólidos) ,,,,





Table: Table_3

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,00 208 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,00 ,,
30 ,PARTIDO REPUBLICANO (PR) ,000 ,,
31 ,CAMBIO (CAMBIO) ,000 ,,
32 ,PARTIDO AZUL (AZUL) ,001 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,000 ,,
18 ,VICTORIA (VICTORIA) ,00 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,000 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,000 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,000 ,,
37 ,UNION REPUBLICANA (UR) ,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PA N) ,DOO ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,000 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION ,00 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,00 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,00 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,002 ,,
12 ,MIFAMILIA (MIFAMILIA) ,000 ,,
33 ,CABAL (CABAL ,,0 ,
17 ,VISION CON VALORES (VIVA) ,,,
22 ,PODEMOS (PODEMOS) ,00 ,1 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,000 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,001 ,,





