Table: Table_1

Mesa Número ,1776 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,0 ,0 ,'t ,
15 ,UNIDAD NACIONAL OF LA ESPERANZA (UNE) ,2 ,2 ,2 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,4 ,6 ,
30 ,PARTIDO REPUBLICANO (PR) ,2 ,O ,1 ,
31 ,CAMBIO (CAMBIO) ,a ,0 ,2. ,
32 ,PARTIDO AZUL (AZUL ) ,O ,1 ,O ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,
18 ,VICTORIA (VICTORIA) ,2 ,0 ,is ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMO5) ,O ,C. ,1 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,0 ,3 ,
26 ,BIENESTAR NACIONAL (BIEN) ,A ,0 ,4 ,
37 ,UNION REPUBLICANA (UR) ,0 ,I ,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,O ,O ,/ ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,0 ,0 ,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,0 ,0 ,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,3 ,7 ,
12 ,MI FAMILIA (MI FAMILIA) ,-) ,3 ,4 ,
33 ,CABAL (CABAL) ,,,,
17 ,VISION CON VALORES (VIVA) ,? ,C ,of ,
22 ,PODEMOS (PODEMOS) ,O ,e ,7 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,) ,O ,1 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,O ,5 ,8 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es lo suma de los votos obtenidos por los organizaciones políticos) ,2 ,,2 ,
Votos Nutos ,0 ,1 ,3 ,
Votos en Blanco ,I ,O ,2 ,
Total Votos Válidamente Emitidos (Es lo sumo de los votos vólidos, votos nulos y votos en blanco) ,2 ,? ,+ ,
Votos Inválidos ,0 ,0 ,O ,
Total Votos (Es to sumo de los votos válidamente emitidos y votos invólidos) ,2 ,3 ,7 ,





