Table: Table_1

Mesa Número ,1393 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,0 ,t ,2 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,2 ,4 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,3 ,5 ,
30 ,PARTIDO REPUBLICANO (PR). ,0 ,0 ,0 ,
31 ,CAMBIO (CAMBIO) ,2) ,1) ,2 ,
32 ,PARTIDO AZUL (AZUL ,,() ,3 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,
18 ,VICTORIA (VICTORIA) ,,,3 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 ,O ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,O ,0 ,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,0 ,a ,t ,
37 ,UNION REPUBLICANA (UR) ,+ ,O ,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P N) ,0 ,,t ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,O ,O ,2 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,I ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,0 ,C ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,2 ,t ,
12 ,MI FAMILIA (MI FAMILIA) ,0 ,0 ,t ,
33 ,CABAL (CABAL) ,4 ,e ,3 ,
17 ,VISION CON VALORES (VIVA) ,€ ,0 ,4 ,
22 ,PODEMOS (PODEMOS) ,( ,O ,it ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,6 ,D ,2 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,5 ,I ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticos) ,,174 ,,
Votos Nulos ,,,5 ,
Votos en Blanco ,,00 ,4 ,
Total Votos Validamente Emitidos (Es la sumo de los votos vólidos, votos nuios y votos en bianco) ,1 ,9 ,3 ,
Votos Inválidos ,,000 ,,
Total Votos (Es to sumo de los votos válidomente emitidos y votos invólidos) ,,193 ,,





