Table: Table_1

Mesa Número ,1988 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,001 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,005 ,,
30 ,PARTIDO REPUBLICANO (PR) ,000 ,,
31 ,CAMBIO (CAMB10) ,000 ,,
32 ,PARTIDO AZUL (AZUL) ,000 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,CCO ,,
18 ,VICTORIA (VICTORIA) ,0 C ,0 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,O 0 ,1 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,000 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,C ,1 ,
37 ,UNION REPUBLICANA (UR) ,000 ,,
25 ,PARTIBO DE AVANZADA NACIONAL (P AN) ,000 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,001 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,000 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,000 ,,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA JRNG-MAIZ WINAQ) ,00 ,3 ,
12 ,MI FAMILIA (MI FAMILIA) ,000 ,,
33 ,CABAL (CABAL) ,001 ,,
17 ,VISION CON VALORES (VIVA) ,000 ,,
22 ,PODEMOS (PODEMOS) ,000 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,000 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,0 0 ,8 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es lo sumo de los votos obtenidos por las organizaciones políticas) ,,021 ,,
Votos Nujos ,,000 ,,
Votos en Blanco ,,O ,,
Total Votos Validamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en bionco) ,,02. ,1 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos válidamente emitidos y votos inválidos) ,,02 ,1 ,





