Table: Table_1

Mesa Número ,89 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 2 ,4 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 6 ,6 ,
30 ,PARTIDO REPUBLICANO (PR) ,,,
31 ,CAMBIO (CAMBIO) ,,2 ,
32 ,PARTIDO AZUL (AZUL) ,,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,1 ,
18 ,VICTORIA (VICTORIA) ,,6 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,4 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,5 ,
37 ,UNION REPUBLICANA (UR) ,,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,5 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,2 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOJA DE AGUA) ,,2 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,3 ,5 ,
12 ,MI FAMILIA (MI FAMILIA) ,DO ,1 ,
33 ,CABAL (CABAL) ,00 ,2 ,
17 ,VISION CON VALORES (VIVA) ,00 ,7 ,
22 ,PODEMOS (PODEMOS) ,0 1 ,O ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,00 ,2 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,6 ,1 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticos) ,,255 ,,
Votos Nulos ,,02 ,9 ,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (ES to suma de los votos válidos, votos nulos y votos en bionco) ,,284 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos válidamente emitidos y votos inválidos) ,,28' ,,





