Table: Table_1

Mesa Número ,1535 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones políticas) ,,28 ,4 ,
Votos Nulos ,,/ ,0 ,
Votos en Blanco ,,00 ,,
Total Votos Validamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en bionco) ,,29 ,4 ,
Votos Inválidos ,,00 ,0 ,
Total Votos (Es la suma de los votos vólidamente emitidos y votos Inválidos) ,7 ,a ,4 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,0 1 ,3 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 1 ,4 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,07 ,6 ,
30 ,PARTIDO REPUBLICANO (PR) ,00 ,2 ,
31 ,CAMBIO (CAMBIO) ,0 ,7 ,
32 ,PARTIDO AZUL (AZUL) ,,6 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,0 ,1 ,
18 ,VICTORIA (VICTORIA) ,0 0 ,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,C ,,
26 ,BIENESTAR NACIONAL (BIEN) ,0 0 ,1 ,
37 ,UNION REPUBLICANA (UR) ,0 ,/ ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,a 0 ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,2 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,0 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,0 0 ,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 S ,5 ,
12 ,MI FAMILIA (MI FAMILIA) ,0 0 ,0 ,
33 ,CABAL (CABAL) ,0 0 ,0 ,
17 ,VISION CON VALORES (VIVA) ,0 0 ,2 ,
22 ,PODEMOS (PODEMOS) ,0 1 ,5 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,0 a ,1 ,
20 ,COMPROMISO RENOVACION Y ORDEN (CREO) ,O 7 ,5 ,





