Table: Table_1

Mesa Número ,1038 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (ES la sumo de los votos obtenidos por los organizaciones políticas) ,,256 ,,
Votos Nulos ,,016 ,,
Votos en Bianco ,,001 ,,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,,273 ,,
Votos Inválidos ,,006 ,,
Total Votos (Es la suma de los votos válldamente emitidos votos invólidos) ,,273 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,,5 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,,8 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,,0 ,
30 ,PARTIDO REPUBLICANO (PR) ,,I ,1 ,
31 ,CAMBIO (CAMBIO) ,0 ,,5 ,
32 ,PARTIDO AZUL (AZUL) ,1 ,,9 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,0 ,6 ,Q ,
18 ,VICTORIA (VICTORIA) ,() ,0 ,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 ,,7 ,
28 ,PARTIDO HUMANISTADE GUATEMALA PHONO ,8 ,,2 ,
26 ,BIENESTAR NACIONAL (BIEN) ,1 ,1 ,3 ,
37 ,UNION REPUBLICANA (UR) ,0 ,0 ,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAI N) ,0 ,,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,0 ,0 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION ,n ,,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,0 ,() ,1 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,1 ,6 ,1 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,1 ,Z ,8 ,
12 ,MI FAMILIA (MI FAMILIA) ,0 ,6 ,2 ,
33 ,CABAL (CABAL ,,e ,2 ,
17 ,VISION CON VALORES (VIVA) ,,V ,5 ,
22 ,PODEMOS (PODEMOS) ,06 ,,8 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,056 ,,





