Table: Table_1

Mesa Número ,1202 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,,
23 ,TODOS (TODOS) ,,011 ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,o ,2 ,O ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,095 ,,,
30 ,PARTIDO REPUBLICANO (PR) ,,O O C ,,,
31 ,CAMBIO (CAMBIO) ,,0 ,1 ,,
32 ,PARTIDO AZUL (AZUL) ,0 ,0 ,,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,0 ,O ,2 ,,
18 ,VICTORIA (VICTORIA) ,,,X ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,X 4 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,O ,1 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,O ,4 ,,
37 ,UNION REPUBLICANA (UR) ,,O ,,,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,,o ,2 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,0 ,0 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,0 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,1 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,O ,O ,,
12 ,MI FAMILIA (MI FAMILIA) ,,00 ,3 ,,
33 ,CABAL (CABAL) ,,00 ,3 ,,
17 ,VISION CON VALORES (VIVA) ,,005 ,,,
22 ,PODEMOS (PODEMOS) ,,1 ,1 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,0 ,1 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CRED) ,,062 ,,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones políticas) ,,270 ,,
Votos Nulos ,,2 ,1 ,
Votos en Blanco ,,001 ,,
Total Votos Válidamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en bionco) ,2 ,9 ,2 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos válidamente emitidos y votos invólidos) ,,292 ,,





